Percentile,MeanFractionalPathLength,TaxonomyLevel,TaxonomyValue
0.3,0.38098244348244337,Umbrella,Applied Sciences
0.31,0.3809223184223183,Umbrella,Applied Sciences
0.32,0.38287351977828155,Umbrella,Applied Sciences
0.33,0.3835978835978835,Umbrella,Applied Sciences
0.34,0.3820861678004534,Umbrella,Applied Sciences
0.35000000000000003,0.38517258755353984,Umbrella,Applied Sciences
0.36,0.38711519961519947,Umbrella,Applied Sciences
0.37,0.3884379509379508,Umbrella,Applied Sciences
0.38,0.3890993265993265,Umbrella,Applied Sciences
0.39,0.3891408415217938,Umbrella,Applied Sciences
0.4,0.3926996724615771,Umbrella,Applied Sciences
0.41000000000000003,0.3973607961703199,Umbrella,Applied Sciences
0.42,0.3995310245310244,Umbrella,Applied Sciences
0.43,0.40382996632996626,Umbrella,Applied Sciences
0.44,0.4089405964405963,Umbrella,Applied Sciences
0.45,0.41169060216679254,Umbrella,Applied Sciences
0.46,0.4146825396825396,Umbrella,Applied Sciences
0.47000000000000003,0.4184618291761148,Umbrella,Applied Sciences
0.48,0.43033509700176353,Umbrella,Applied Sciences
0.49,0.43211880711880696,Umbrella,Applied Sciences
0.5,0.431156806156806,Umbrella,Applied Sciences
0.51,0.43097643097643085,Umbrella,Applied Sciences
0.52,0.4375157470395564,Umbrella,Applied Sciences
0.53,0.4372008062484251,Umbrella,Applied Sciences
0.54,0.4419879062736204,Umbrella,Applied Sciences
0.55,0.4386123136123135,Umbrella,Applied Sciences
0.56,0.4413780663780662,Umbrella,Applied Sciences
0.5700000000000001,0.44113756613756605,Umbrella,Applied Sciences
0.58,0.4356361231361231,Umbrella,Applied Sciences
0.59,0.44554673721340377,Umbrella,Applied Sciences
0.6,0.4508692365835221,Umbrella,Applied Sciences
0.61,0.45168808264046345,Umbrella,Applied Sciences
0.62,0.4491370622323002,Umbrella,Applied Sciences
0.63,0.45622323003275367,Umbrella,Applied Sciences
0.64,0.45272738725119677,Umbrella,Applied Sciences
0.65,0.45426587301587296,Umbrella,Applied Sciences
0.66,0.45975529100529094,Umbrella,Applied Sciences
0.67,0.45952380952380945,Umbrella,Applied Sciences
0.68,0.4591931216931216,Umbrella,Applied Sciences
